step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/precision,classification/recall,classification/auroc,classification/auprc,classification/f1.0
334,195056,2672,0.003926062851695554,1.0,1.0,,,,,,,,,
335,195640,2680,0.001944998730994259,1.0,1.0,,,,,,,,,
336,196224,2688,0.00260450516983795,1.0,1.0,,,,,,,,,
337,196808,2696,0.004848761947720981,0.875,0.875,0.002411801848744189,1.0,1.0,,,,,,
338,197392,2704,0.002522146841236016,1.0,1.0,,,,,,,,,
339,197976,2712,0.0024082055799767663,1.0,1.0,,,,,,,,,
340,198560,2720,0.0021276305684673996,1.0,1.0,,,,,,,,,
341,199144,2728,0.0019318798609197312,1.0,1.0,,,,,,,,,
342,199728,2736,0.0020204096464064253,1.0,1.0,,,,,,,,,
343,200312,2744,0.0035658064023063726,0.875,0.875,,,,,,,,,
344,200896,2752,0.002196156297222771,1.0,1.0,,,,,,,,,
345,201480,2760,0.002574251554158862,1.0,1.0,0.003055791896407764,1.0,1.0,,,,,,
346,202064,2768,0.0023939717012115918,1.0,1.0,,,,,,,,,
347,202648,2776,0.002494398592973665,1.0,1.0,,,,,,,,,
348,203232,2784,0.002758545904689464,1.0,1.0,,,,,,,,,
349,203816,2792,0.0025863239223329554,1.0,1.0,,,,,,,,,
350,204400,2800,0.002272257368356681,1.0,1.0,,,,,,,,,
351,204984,2808,0.0024696889620938675,1.0,1.0,,,,,,,,,
352,205568,2816,0.002445557319473801,1.0,1.0,,,,,,,,,
353,206152,2824,0.0025465482206922887,1.0,1.0,0.0020048948680421574,1.0,1.0,,,,,,
354,206736,2832,0.0023038663623004395,1.0,1.0,,,,,,,,,
355,207320,2840,0.0023288628646637474,1.0,1.0,,,,,,,,,
356,207904,2848,0.002137691055818054,1.0,1.0,,,,,,,,,
357,208488,2856,0.014796084181720915,0.875,0.875,,,,,,,,,
358,209072,2864,0.00220159038469972,1.0,1.0,,,,,,,,,
359,209656,2872,0.002114749264105329,1.0,1.0,,,,,,,,,
360,210240,2880,0.0024553568184534275,1.0,1.0,,,,,,,,,
361,210824,2888,0.0020453563495016723,1.0,1.0,0.004399615198553038,0.875,0.875,,,,,,
362,211408,2896,0.0032876069096901034,1.0,1.0,,,,,,,,,
363,211992,2904,0.002697432989593472,1.0,1.0,,,,,,,,,
364,212576,2912,0.0021162882558738104,1.0,1.0,,,,,,,,,
365,213160,2920,0.002186859333208883,1.0,1.0,,,,,,,,,
366,213744,2928,0.002206551954977169,1.0,1.0,,,,,,,,,
367,214328,2936,0.00227338237508874,1.0,1.0,,,,,,,,,
368,214912,2944,0.0019728536176314847,1.0,1.0,,,,,,,,,
369,215496,2952,0.002324005816126484,1.0,1.0,0.0017917778402942886,1.0,1.0,,,,,,
370,216080,2960,0.0018155807677897606,1.0,1.0,,,,,,,,,
371,216664,2968,0.002406451304421403,1.0,1.0,,,,,,,,,
372,217248,2976,0.0017280669175016626,1.0,1.0,,,,,,,,,
373,217832,2984,0.0017170378414315401,1.0,1.0,,,,,,,,,
374,218416,2992,0.0019888944165240906,1.0,1.0,,,,,,,,,
